Neighbourhood ID,Neighbourhood,n_properties,avall_public,median_assessvalue,sd_assessedvalue,median_yearbuilt,pct_with_unit,avg_assessvalue_without_unit,avg_lotsize,suppressed
2580,NORTHMOUNT,1087,346277.82888684474,381500,104589.39973752138,1971,23.367065317387304,394710.6842737094,615.3041452581033,FALSE
2590,OVERLANDERS,453,360391.8322295805,369000,288290.188426305,1978,31.346578366445915,421810.2893890676,623.9165594855306,FALSE
2600,OZERNA,1431,456187.63102725317,462000,148473.68176068395,1997,14.046121593291405,497971.13821138255,545.2424349593496,FALSE
2611,CY BECKER,1543,496825.34024627315,511000,154135.8009117137,2019,13.415424497731692,535606.28742515,375.28264446107784,FALSE
2630,RIVER VALLEY HERMITAGE,63,NA,NA,NA,NA,NA,NA,NA,TRUE
2640,RIVER VALLEY HIGHLANDS,5,NA,NA,NA,NA,NA,NA,NA,TRUE
2660,RUNDLE HEIGHTS,980,257014.28571428565,313250,143522.56462909226,1971,41.734693877551024,355281.9614711035,567.4312451838879,FALSE
2670,RURAL NORTH EAST HORSE HILL,69,NA,NA,NA,NA,NA,NA,NA,TRUE
2671,MARQUIS,800,412228.75,329000,1270222.1569802396,2024,0,412228.75,4221.016102499999,FALSE
2681,EDMONTON ENERGY AND TECHNOLOGY PARK,99,NA,NA,NA,NA,NA,NA,NA,TRUE
2690,RURAL NORTH EAST SOUTH STURGEON,53,NA,NA,NA,NA,NA,NA,NA,TRUE
2692,QUARRY RIDGE,497,613410.462776659,680000,533285.6610688121,2007,0,613410.462776659,1848.542414486922,FALSE
2700,SCHONSEE,1844,481052.8741865508,502500,236384.42839908946,2014,31.127982646420826,571284.2519685046,490.4357322834646,FALSE
2710,SIFTON PARK,405,316856.7901234568,354000,93564.43607264454,1976,29.629629629629626,368364.91228070174,627.9887824561404,FALSE
2720,YORK,1110,319748.64864864835,344000,98632.3970620255,1967,19.00900900900901,351784.2046718574,549.9381334816462,FALSE
3010,ATHLONE,1140,354039.4736842107,352000,98328.78642739693,1993,11.228070175438596,365973.8142292484,522.1621581027669,FALSE
3020,BARANOW,663,225359.7285067873,202500,90933.4810061839,2009,100,NA,NA,FALSE
3030,BATURYN,1632,371701.286764706,390000,317867.8504373968,1978,23.651960784313726,418216.69341894065,591.0112728731942,FALSE
3040,BEAUMARIS,1516,392458.44327176706,424250,199604.23281345237,1983,41.49076517150396,501698.4216459979,644.7945546786922,FALSE
3060,CAERNARVON,1429,319593.0720783762,364500,108462.25937934993,1975,33.65990202939118,383579.641350211,558.641799578059,FALSE
3070,CALDER,1402,328163.6947218258,321500,113869.96284491429,1959,7.917261055634807,338515.1045701007,530.885599535244,FALSE
3080,CANOSSA,1041,458630.64361191157,466500,69917.93769834189,2003,8.549471661863594,474483.718487395,420.9285273109244,FALSE
3090,CARLISLE,1095,352923.7442922378,367000,315809.9036302375,1978,25.205479452054796,397920.63492063485,555.3949731379731,FALSE
3111,GRIESBACH,2403,517991.26092384505,484000,252306.0122556524,2015,35.33083645443196,616035.7142857144,402.6594897039897,FALSE
3120,CHAMBERY,785,634641.4012738864,571000,201842.2402005001,2005,0,634641.4012738864,526.4462904458599,FALSE
3140,CRESTWOOD,927,1034484.8975188794,748000,1007190.1968567002,1964,6.256742179072276,1077182.968929808,764.8998089758343,FALSE
3150,CUMBERLAND,1983,427813.41401916376,446500,112710.5596826192,2002,12.859304084720122,464759.2592592592,433.717,FALSE
3170,DOVERCOURT,762,388199.4750656167,382000,81991.91636535984,1954,0,388199.4750656167,643.2960944881889,FALSE
3180,DUNLUCE,1825,338781.6438356164,378500,108410.50490635452,1979,28.27397260273973,397792.9717341481,584.1146447669977,FALSE
3190,ELSINORE,940,485414.89361702144,496000,112280.6852517669,1998,18.29787234042553,515240.8854166666,537.6814023437499,FALSE
