neighbourhood_id,display_name,civic_ward,planning_district,census_state,n_businesses_2025,n_employees_2025,n_businesses_2024,n_employees_2024,yoy_businesses_change,yoy_employees_change,yoy_businesses_pct,yoy_employees_pct
2430,KIRKNESS,Dene,Northeast,data,6,35,NA,NA,NA,NA,NA,NA
2440,KLARVATTEN,tastawiyiniwak,Northwest,data,35,262,NA,NA,NA,NA,NA,NA
4240,LA PERLE,Nakota Isga,West Edmonton,data,27,270,16,131,11,139,68.8,106.1
2450,LAGO LINDO,tastawiyiniwak,Northwest,data,5,95,NA,NA,NA,NA,NA,NA
6380,LAMBTON INDUSTRIAL,Métis,Southeast,data,83,1535,69,1037,14,498,20.3,48
5260,LANSDOWNE,papastew,Scona,data,16,165,6,42,10,123,166.7,292.9
6390,LARKSPUR,Sspomitapi,Mill Woods and Meadows,data,71,1328,NA,NA,NA,NA,NA,NA
3260,LAUDERDALE,Anirniq,Northwest,data,82,625,NA,NA,NA,NA,NA,NA
6444,LAUREL,Sspomitapi,Mill Woods and Meadows,data,4,70,NA,NA,NA,NA,NA,NA
3270,LAURIER HEIGHTS,sipiwiyiniwak,Jasper Place,data,20,183,12,92,8,91,66.7,98.9
6400,LEE RIDGE,Karhiio,Mill Woods and Meadows,data,46,764,NA,NA,NA,NA,NA,NA
5630,LEGER,pihêsiwin,Whitemud,data,27,601,NA,NA,NA,NA,NA,NA
5270,LENDRUM PLACE,papastew,Scona,data,41,896,35,328,6,568,17.1,173.2
4260,LEWIS FARMS,Nakota Isga,West Henday,no_data,NA,NA,NA,NA,NA,NA,NA,NA
4261,LEWIS FARMS BUSINESS EMPLOYMENT,Nakota Isga,West Henday,no_data,NA,NA,NA,NA,NA,NA,NA,NA
3280,LORELEI,tastawiyiniwak,Northwest,data,35,348,NA,NA,NA,NA,NA,NA
4270,LYMBURN,sipiwiyiniwak,West Edmonton,data,16,287,9,100,7,187,77.8,187
4280,LYNNWOOD,sipiwiyiniwak,Jasper Place,data,15,144,11,55,4,89,36.4,161.8
5452,MACEWAN,Ipiihkoohkanipiaohtsi,Southwest,data,28,400,NA,NA,NA,NA,NA,NA
5477,MACTAGGART,pihêsiwin,Whitemud,data,39,699,NA,NA,NA,NA,NA,NA
5476,MAGRATH HEIGHTS,pihêsiwin,Whitemud,data,28,437,NA,NA,NA,NA,NA,NA
5280,MALMO PLAINS,papastew,Scona,data,7,97,6,27,1,70,16.7,259.3
6441,MAPLE,Sspomitapi,Mill Woods and Meadows,data,3,137,NA,NA,NA,NA,NA,NA
6410,MAPLE RIDGE,Sspomitapi,Southeast,data,4,18,3,38,1,-20,33.3,-52.6
6420,MAPLE RIDGE INDUSTRIAL,Sspomitapi,Southeast,data,35,1419,39,1249,-4,170,-10.3,13.6
2671,MARQUIS,Dene,Horse Hill,data,2,81,NA,NA,NA,NA,NA,NA
2500,MATT BERRY,Dene,Northeast,data,15,168,NA,NA,NA,NA,NA,NA
6667,MATTSON,Karhiio,Ellerslie,no_data,NA,NA,NA,NA,NA,NA,NA,NA
